15mins,30mins,60mins,1200mins
355.5325301,916.4048193,1354.224096,2847.880808
209.5831325,390.6373494,1457.837349,347.7191919
436.7084337,618.6831325,1095.76506,3139.359596
432.846988,411.7975904,1025.583133,5896.511111
176.7987952,639.2915663,1643.889157,4008.749495
397.8650602,755.8891566,1161.659036,4743.484848
345.1903614,766.2036145,1114.653012,5938.945455
556.2313253,283.3361446,233.9915663,2725.040404
446.1144578,444.2192771,1293.713253,3529.446465
416.0120482,376.8915663,1239.237349,6347.723232
296.1722892,700.0506024,1262.768675,1940.486869
309.5012048,730.3289157,370.0578313,3460.448485
133.3650602,813.5228916,1099.938554,4572.220202
256.8228916,425.4253012,285.7710843,9185.014141
266.226506,391.3650602,1092.842169,1022.961616
427.2337349,87.95301205,630.9927711,9073.531313
300.4240964,984.4590361,831.246988,2615.830303
479.8421687,938.5939759,1196.331325,6194.763636
374.046988,428.0253012,443.9433735,3669.880808
398.2590361,589.0710843,881.4433735,3523.555556
454.2686747,326.9674699,1105.60241,4163.705051
157.039759,824.4192771,1388.20241,7931.535354
436.5819277,697.9168675,1111.562651,1509.008081
346.9915663,767.4843373,1030.566265,4344.610101
155.3421687,335.4927711,940.7,3338.971717
173.1180723,752.5072289,701.8313253,549.5737374
350.5409639,703.0578313,772.5048193,769.6747475
238.9506024,259.9120482,1128.896386,5224.189899
260.2506024,456.2457831,1000.890361,1451.618182
271.1493976,238.1240964,740.1819277,3614.513131
182.3084337,563.486747,954.2409639,1905.359596
253.4855422,228.1819277,308.3060241,6576.167677
95.34578313,415.7951807,1408.010152,6221.989899
370.7084337,642.4746988,1718.367513,2055.886869
261.5710843,538.0048193,725.4421687,4653.836364
208.9216867,559.6951807,1066.878313,3098.911111
522.5638554,725.339759,183.3421687,2032.721212
514.3168675,564.8433735,1187.262651,6013.379798
153.4626506,167.2060241,784.9,1477.014141
173.7072289,516.4361446,1447.287952,1006.775758
447.3325301,169.7554217,1589.90241,706.5131313
513.9590361,724.9903614,406.9481928,963.8343434
560.7108434,565.353012,1699.825301,2702.967677
291.1096386,639.4192771,1427.543373,1272.593939
310.5518072,530.4433735,1318.907229,8981.686869
224.7060241,310.8506024,1112.449398,502.8343434
521.4301205,679.3783133,507.1843373,4244.127273
266.9963855,322.4650602,846.1373494,322.630303
98.08072289,838.3783133,720.4108434,3284.135354
393.6457831,709.2951807,918.173494,11878.62424
326.3421687,498.9277108,265.1783133,11438.88485
55.29036145,184.9253012,991.6963855,8739.317172
384.3277108,442.9012048,440.7024096,1980.551515
243.7,524.613253,1402.244578,1584.044444
352.6843373,513.2915663,452.5518072,1624.014141
398.4843373,523.2795181,1193.893976,7429.434343
510.0879518,557.5481928,230.6240964,3326.109091
476.453012,458.2722892,467.9614458,11843.12525
424.3313253,776.1518072,1068.589157,1424.046465
166.7915663,750.3951807,1323.309639,4250.185859
386.1096386,411.2493976,481.7204819,6803.149495
321.2156627,689.0385542,1238.348193,948.0787879
381.3927711,441.3795181,1443.501205,8920.141414
416.8301205,373.9975904,385.2951807,10753.50909
278.9156627,229.4626506,1312.791566,1105.636364
478.8361446,730.0240964,485.3650602,5275.561616
460.4192771,261.6349398,361.8228916,8059.022222
410.5903614,386.0843373,580.5759036,1776.963636
195.4590361,280.7409639,1806.989157,3396.745455
412.0674699,663.6084337,1581.389157,6608.278788
483.0156627,152.0433735,559.0662651,7463.430303
522.8843373,191.1277108,996.0759036,11010.65253
311.8168675,918.2831325,1648.028916,5168.694949
316.7433735,285.8819277,817.2807229,6153.709091
365.1156627,235.9662651,1061.696386,6834.058586
193.0349398,693.7903614,1673.793976,2209.99596
181.5168675,568.926506,711.5855422,3353.60404
337.6578313,607.3253012,1160.368675,3185.567677
275.7036145,680.986747,506.7927711,5963.634343
202.5915663,508.5204819,680.8807229,2665.155556
411.3759036,105.1433735,639.3795181,3809.668687
454.1072289,677.6542169,720.7554217,2700.446465
231.7831325,839.160241,1095.471084,2010.652525
327.9686747,727.0554217,602.3421687,3000.989899
29.14096386,407.6674699,1496.262651,5527.086869
381.7048193,530.5975904,694.3795181,4517.537374
574.0903614,632.1650602,1257.615663,5774.783838
445.2120482,536.2759036,697.7445783,9858.852525
129.6542169,765.1433735,484.9108434,1439.674747
56.11927711,728.2771084,1054.703614,4944.494949
238.6674699,770.5518072,340.5746988,10545.16768
225.9373494,240.4253012,661.7795181,7634.741414
135.0566265,664.4277108,743.5783133,7289.628283
367.3626506,795.8084337,1291.891566,6183.907071
378.1915663,408.1072289,1707.944578,4533.935354
442.4385542,703.2771084,902.9253012,5354.507071
471.2445783,674.4807229,1070.998795,1510.080808
342.1240964,708.0457831,985.4144578,7642.30101
604.9493976,717.1156627,561.7795181,7932.90101
183.8277108,886.7710843,1663.70241,8511.206061
416.8421687,577.4433735,843.153012,5389.137374
421.5554217,181.7253012,1108.191566,3982.662626
456.9614458,557.7228916,1214.363855,9165.367677
206.1457831,287.0686747,492.8084337,2632.329293
272.4855422,360.0722892,1482.743147,9019.274747
378.053012,224.4698795,770.3543147,1201.337374
427.1554217,556.0481928,390.8741117,3661.240404
202.9168675,833.0325301,1423.328934,4289.547475
433.2855422,453.873494,1020.026506,6052.046465
268.3337349,519.5578313,672.1445783,1374.208081
301.1228916,703.4566265,896.9373494,2985.226263
484.7216867,256.7445783,1605.20203,2959.606061
386.2373494,288.1313253,1218.862651,1683.020202
509.0891566,,523.4048193,614.7070707
513.6253012,,1096.439759,7287.848485
180.3325301,,415.5638554,5652.191919
413.5060241,,1932.716867,3935.032323
230.0614458,,1082.178313,109.7575758
388.4313253,,296.2975904,4377.816162
130.7674699,,218.9987952,5043.656566
257.9903614,,1290.833735,2381.820202
171.5819277,,231.8590361,6916.034343
283.2746988,,1332.981928,3860.909091
474.1795181,,369.9674699,2751.056566
453.9228916,,770.3614458,10131.81818
174.4638554,,1045.592771,7249.537374
226.4674699,,1327.666265,9077.652525
233.2722892,,504.5072289,8445.492929
108.4289157,,1217.03012,869.3050505
95.50240964,,1456.193976,3173.739394
193.6204819,,1168.431325,7138.452525
291.0542169,,310.9289157,10171.97172
501.6240964,,858.1156627,1872.19798
135.5879518,,620.2421687,8991.521212
397.5457831,,47.32168675,2391.866667
321.1192771,,811.0626506,5029.149495
361.4301205,,8.081927711,11092.8
360.113253,,329.6493976,
192.7855422,,1714.224096,
139.4542169,,,
193.9686747,,,
363.7240964,,,
528.5807229,,,
575.9662651,,,
243.3698795,,,
139.7457831,,,
150.5313253,,,
439.7915663,,,
179.9289157,,,
349.0855422,,,
68.76987952,,,
266.4385542,,,
227.6457831,,,
149.6578313,,,
418.8481928,,,
198.839759,,,
384.0457831,,,
360.7421687,,,
302.6554217,,,
